"Kod";"Nazwa";"stadiony;ogółem;2018;[ob.]";"hale sportowe o wymiarach od 36x19 m;ogółem;2018;[ob.]";"sale gimnastyczne o wymiarach poniżej 36x19 m i sale pomocnicze;ogółem;2018;[ob.]";"korty tenisowe;ogółem;2018;[ob.]";"pływalnie kryte;ogółem;2018;[ob.]";
0201000;"Powiat bolesławiecki";23;1;0;3;2;
0202000;"Powiat dzierżoniowski";6;4;3;16;1;
0203000;"Powiat głogowski";3;2;0;5;2;
0204000;"Powiat górowski";3;2;1;2;1;
0205000;"Powiat jaworski";2;0;0;1;1;
0206000;"Powiat karkonoski";6;2;2;2;0;
0207000;"Powiat kamiennogórski";4;0;0;7;1;
0208000;"Powiat kłodzki";16;6;15;22;9;
0209000;"Powiat legnicki";3;1;0;1;1;
0210000;"Powiat lubański";7;2;2;4;2;
0211000;"Powiat lubiński";4;4;1;11;2;
0212000;"Powiat lwówecki";7;0;0;2;0;
0213000;"Powiat milicki";3;1;0;6;1;
0214000;"Powiat oleśnicki";8;6;7;5;2;
0215000;"Powiat oławski";4;3;4;1;1;
0216000;"Powiat polkowicki";5;0;2;5;1;
0217000;"Powiat strzeliński";11;0;1;2;1;
0218000;"Powiat średzki";3;2;0;1;0;
0219000;"Powiat świdnicki";12;7;6;16;6;
0220000;"Powiat trzebnicki";5;4;4;2;0;
0221000;"Powiat wałbrzyski";6;3;4;2;0;
0222000;"Powiat wołowski";2;2;2;4;1;
0223000;"Powiat wrocławski";9;8;9;8;3;
0224000;"Powiat ząbkowicki";10;2;0;2;0;
0225000;"Powiat zgorzelecki";13;3;2;8;1;
0226000;"Powiat złotoryjski";4;2;0;0;0;
0261000;"Powiat m.Jelenia Góra";4;3;2;9;2;
0262000;"Powiat m.Legnica";4;3;1;3;2;
0264000;"Powiat m.Wrocław";17;19;27;56;11;
0265000;"Powiat m.Wałbrzych od 2013";7;5;0;1;1;
0401000;"Powiat aleksandrowski";8;1;3;10;4;
0402000;"Powiat brodnicki";6;2;2;4;0;
0403000;"Powiat bydgoski";4;5;0;4;2;
