"Kod";"Nazwa";"ludność na 1 km2;2020;[osoba]";
0201000;"Powiat bolesławiecki";69;
0202000;"Powiat dzierżoniowski";209;
0203000;"Powiat głogowski";200;
0204000;"Powiat górowski";47;
0205000;"Powiat jaworski";86;
0206000;"Powiat karkonoski";101;
0207000;"Powiat kamiennogórski";108;
0208000;"Powiat kłodzki";95;
0209000;"Powiat legnicki";74;
0210000;"Powiat lubański";126;
0211000;"Powiat lubiński";149;
0212000;"Powiat lwówecki";64;
0213000;"Powiat milicki";51;
0214000;"Powiat oleśnicki";102;
0215000;"Powiat oławski";146;
0216000;"Powiat polkowicki";81;
0217000;"Powiat strzeliński";69;
0218000;"Powiat średzki";79;
0219000;"Powiat świdnicki";211;
0220000;"Powiat trzebnicki";83;
0221000;"Powiat wałbrzyski";128;
0222000;"Powiat wołowski";69;
0223000;"Powiat wrocławski";140;
0224000;"Powiat ząbkowicki";80;
0225000;"Powiat zgorzelecki";105;
0226000;"Powiat złotoryjski";75;
0261000;"Powiat m.Jelenia Góra";717;
0262000;"Powiat m.Legnica";1749;
0264000;"Powiat m.Wrocław";2192;
0265000;"Powiat m.Wałbrzych od 2013";1298;
0401000;"Powiat aleksandrowski";116;
0402000;"Powiat brodnicki";76;
0403000;"Powiat bydgoski";86;
0404000;"Powiat chełmiński";98;
0405000;"Powiat golubsko-dobrzyński";73;
0406000;"Powiat grudziądzki";55;
0407000;"Powiat inowrocławski";129;
0408000;"Powiat lipnowski";64;
0409000;"Powiat mogileński";67;
0410000;"Powiat nakielski";77;
0411000;"Powiat radziejowski";66;
0412000;"Powiat rypiński";74;
0413000;"Powiat sępoleński";52;
0414000;"Powiat świecki";67;
0415000;"Powiat toruński";89;
0416000;"Powiat tucholski";45;
0417000;"Powiat wąbrzeski";68;
0418000;"Powiat włocławski";58;
0419000;"Powiat żniński";71;
0461000;"Powiat m.Bydgoszcz";1955;
0462000;"Powiat m.Grudziądz";1620;
0463000;"Powiat m.Toruń";1716;
0464000;"Powiat m.Włocławek";1287;
0601000;"Powiat bialski";40;
0602000;"Powiat biłgorajski";60;
0603000;"Powiat chełmski";41;
0604000;"Powiat hrubieszowski";49;
0605000;"Powiat janowski";52;
0606000;"Powiat krasnostawski";61;
0607000;"Powiat kraśnicki";94;
0608000;"Powiat lubartowski";68;
