"Kod";"Nazwa";"ścieżki rowerowe (drogi dla rowerów) ogółem;2020;[km]";
0201000;"Powiat bolesławiecki";57,0;
0202000;"Powiat dzierżoniowski";58,5;
0203000;"Powiat głogowski";24,4;
0204000;"Powiat górowski";4,7;
0205000;"Powiat jaworski";10,5;
0206000;"Powiat karkonoski";6,9;
0207000;"Powiat kamiennogórski";8,2;
0208000;"Powiat kłodzki";31,6;
0209000;"Powiat legnicki";5,0;
0211000;"Powiat lubiński";44,6;
0212000;"Powiat lwówecki";8,1;
0213000;"Powiat milicki";9,6;
0214000;"Powiat oleśnicki";38,7;
0215000;"Powiat oławski";18,4;
0216000;"Powiat polkowicki";15,6;
0217000;"Powiat strzeliński";2,0;
0218000;"Powiat średzki";25,9;
0219000;"Powiat świdnicki";48,8;
0220000;"Powiat trzebnicki";55,5;
0221000;"Powiat wałbrzyski";6,8;
0222000;"Powiat wołowski";39,8;
0223000;"Powiat wrocławski";47,4;
0224000;"Powiat ząbkowicki";0,9;
0225000;"Powiat zgorzelecki";54,7;
0226000;"Powiat złotoryjski";4,7;
0261000;"Powiat m.Jelenia Góra";57,1;
0262000;"Powiat m.Legnica";39,7;
0264000;"Powiat m.Wrocław";360,4;
0265000;"Powiat m.Wałbrzych od 2013";33,7;
0401000;"Powiat aleksandrowski";27,4;
0402000;"Powiat brodnicki";21,0;
0403000;"Powiat bydgoski";167,0;
0404000;"Powiat chełmiński";29,3;
0405000;"Powiat golubsko-dobrzyński";33,4;
0406000;"Powiat grudziądzki";25,9;
0407000;"Powiat inowrocławski";78,3;
0408000;"Powiat lipnowski";5,2;
0409000;"Powiat mogileński";11,5;
0410000;"Powiat nakielski";27,4;
0411000;"Powiat radziejowski";20,5;
0412000;"Powiat rypiński";9,7;
0413000;"Powiat sępoleński";27,2;
0414000;"Powiat świecki";64,2;
0415000;"Powiat toruński";144,2;
0416000;"Powiat tucholski";55,6;
0417000;"Powiat wąbrzeski";31,6;
0418000;"Powiat włocławski";48,9;
0419000;"Powiat żniński";14,1;
0461000;"Powiat m.Bydgoszcz";115,4;
0462000;"Powiat m.Grudziądz";58,8;
0463000;"Powiat m.Toruń";138,0;
0464000;"Powiat m.Włocławek";64,3;
0601000;"Powiat bialski";53,6;
0602000;"Powiat biłgorajski";52,3;
0603000;"Powiat chełmski";30,4;
0604000;"Powiat hrubieszowski";30,9;
0605000;"Powiat janowski";11,7;
0606000;"Powiat krasnostawski";3,9;
0607000;"Powiat kraśnicki";16,8;
0608000;"Powiat lubartowski";68,9;
0609000;"Powiat lubelski";109,0;
0610000;"Powiat łęczyński";33,1;
0611000;"Powiat łukowski";23,7;
0612000;"Powiat opolski";11,4;
0613000;"Powiat parczewski";34,0;
0614000;"Powiat puławski";36,8;
0615000;"Powiat radzyński";9,8;
0616000;"Powiat rycki";20,6;
0617000;"Powiat świdnicki";44,3;
0618000;"Powiat tomaszowski";81,1;
0619000;"Powiat włodawski";53,6;
