"Kod";"Nazwa";"ogółem;obiekty ogółem;2019;[ob.]";
0201000;"Powiat bolesławiecki";18;
0202000;"Powiat dzierżoniowski";21;
0203000;"Powiat głogowski";8;
0204000;"Powiat górowski";1;
0205000;"Powiat jaworski";17;
0206000;"Powiat karkonoski";302;
0207000;"Powiat kamiennogórski";13;
0208000;"Powiat kłodzki";205;
0209000;"Powiat legnicki";15;
0210000;"Powiat lubański";64;
0211000;"Powiat lubiński";11;
0212000;"Powiat lwówecki";16;
0213000;"Powiat milicki";9;
0214000;"Powiat oleśnicki";11;
0215000;"Powiat oławski";11;
0216000;"Powiat polkowicki";6;
0217000;"Powiat strzeliński";3;
0218000;"Powiat średzki";3;
0219000;"Powiat świdnicki";25;
0220000;"Powiat trzebnicki";11;
0221000;"Powiat wałbrzyski";46;
0222000;"Powiat wołowski";3;
0223000;"Powiat wrocławski";23;
0224000;"Powiat ząbkowicki";15;
0225000;"Powiat zgorzelecki";17;
0226000;"Powiat złotoryjski";7;
0261000;"Powiat m.Jelenia Góra";28;
0262000;"Powiat m.Legnica";11;
0264000;"Powiat m.Wrocław";102;
0265000;"Powiat m.Wałbrzych od 2013";9;
0401000;"Powiat aleksandrowski";61;
0402000;"Powiat brodnicki";25;
0403000;"Powiat bydgoski";22;
0404000;"Powiat chełmiński";10;
0405000;"Powiat golubsko-dobrzyński";7;
0406000;"Powiat grudziądzki";7;
0407000;"Powiat inowrocławski";27;
0408000;"Powiat lipnowski";9;
0409000;"Powiat mogileński";8;
0410000;"Powiat nakielski";10;
0411000;"Powiat radziejowski";4;
0412000;"Powiat rypiński";2;
0413000;"Powiat sępoleński";14;
0414000;"Powiat świecki";18;
0415000;"Powiat toruński";18;
0416000;"Powiat tucholski";19;
0417000;"Powiat wąbrzeski";5;
0418000;"Powiat włocławski";8;
0419000;"Powiat żniński";21;
0461000;"Powiat m.Bydgoszcz";39;
0462000;"Powiat m.Grudziądz";13;
0463000;"Powiat m.Toruń";48;
0464000;"Powiat m.Włocławek";12;
0601000;"Powiat bialski";24;
0602000;"Powiat biłgorajski";14;
0603000;"Powiat chełmski";5;
0604000;"Powiat hrubieszowski";9;
0605000;"Powiat janowski";12;
0606000;"Powiat krasnostawski";7;
0607000;"Powiat kraśnicki";4;
0608000;"Powiat lubartowski";18;
0609000;"Powiat lubelski";25;
0610000;"Powiat łęczyński";9;
0611000;"Powiat łukowski";5;
0612000;"Powiat opolski";8;
0613000;"Powiat parczewski";8;
0614000;"Powiat puławski";85;
0615000;"Powiat radzyński";6;
0616000;"Powiat rycki";4;
0617000;"Powiat świdnicki";7;
0618000;"Powiat tomaszowski";16;
0619000;"Powiat włodawski";51;
0620000;"Powiat zamojski";63;
0661000;"Powiat m.Biała Podlaska";12;
0662000;"Powiat m.Chełm";7;
0663000;"Powiat m.Lublin";55;
0664000;"Powiat m.Zamość";24;
0801000;"Powiat gorzowski";16;
0802000;"Powiat krośnieński";11;
0803000;"Powiat międzyrzecki";40;
0804000;"Powiat nowosolski";10;
0805000;"Powiat słubicki";29;
0806000;"Powiat strzelecko-drezdenecki";17;
0807000;"Powiat sulęciński";25;
0808000;"Powiat świebodziński";39;
0809000;"Powiat zielonogórski";19;
0810000;"Powiat żagański";7;
0811000;"Powiat żarski";15;
0812000;"Powiat wschowski";29;
0861000;"Powiat m.Gorzów Wielkopolski";14;
0862000;"Powiat m.Zielona Góra";31;
1001000;"Powiat bełchatowski";15;
1002000;"Powiat kutnowski";13;
1003000;"Powiat łaski";6;
1004000;"Powiat łęczycki";4;
1005000;"Powiat łowicki";9;
1006000;"Powiat łódzki wschodni";11;
1007000;"Powiat opoczyński";7;
1008000;"Powiat pabianicki";16;
1009000;"Powiat pajęczański";5;
1010000;"Powiat piotrkowski";22;
1011000;"Powiat poddębicki";22;
1012000;"Powiat radomszczański";12;
1013000;"Powiat rawski";7;
1014000;"Powiat sieradzki";12;
1015000;"Powiat skierniewicki";4;
1016000;"Powiat tomaszowski";30;
1017000;"Powiat wieluński";15;
1018000;"Powiat wieruszowski";7;
1019000;"Powiat zduńskowolski";9;
1020000;"Powiat zgierski";22;
1021000;"Powiat brzeziński";5;
1061000;"Powiat m.Łódź";67;
1062000;"Powiat m.Piotrków Trybunalski";8;
1063000;"Powiat m.Skierniewice";1;
1201000;"Powiat bocheński";17;
1202000;"Powiat brzeski";9;
1203000;"Powiat chrzanowski";7;
1204000;"Powiat dąbrowski";3;
1205000;"Powiat gorlicki";33;
1206000;"Powiat krakowski";35;
1207000;"Powiat limanowski";36;
1208000;"Powiat miechowski";6;
1209000;"Powiat myślenicki";24;
1210000;"Powiat nowosądecki";167;
1211000;"Powiat nowotarski";215;
1212000;"Powiat olkuski";12;
1213000;"Powiat oświęcimski";20;
1214000;"Powiat proszowicki";5;
1215000;"Powiat suski";39;
1216000;"Powiat tarnowski";20;
1217000;"Powiat tatrzański";549;
1218000;"Powiat wadowicki";24;
1219000;"Powiat wielicki";27;
1261000;"Powiat m.Kraków";275;
1262000;"Powiat m.Nowy Sącz";10;
1263000;"Powiat m.Tarnów";13;
1401000;"Powiat białobrzeski";5;
1402000;"Powiat ciechanowski";11;
1403000;"Powiat garwoliński";15;
1404000;"Powiat gostyniński";7;
1405000;"Powiat grodziski";10;
1406000;"Powiat grójecki";17;
1407000;"Powiat kozienicki";10;
1408000;"Powiat legionowski";27;
1409000;"Powiat lipski";1;
1410000;"Powiat łosicki";13;
1411000;"Powiat makowski";6;
1412000;"Powiat miński";13;
1413000;"Powiat mławski";5;
1414000;"Powiat nowodworski";14;
1415000;"Powiat ostrołęcki";8;
1416000;"Powiat ostrowski";5;
1417000;"Powiat otwocki";14;
1418000;"Powiat piaseczyński";26;
1419000;"Powiat płocki";13;
1420000;"Powiat płoński";9;
1421000;"Powiat pruszkowski";32;
1422000;"Powiat przasnyski";5;
1423000;"Powiat przysuski";5;
1424000;"Powiat pułtuski";2;
1425000;"Powiat radomski";13;
1426000;"Powiat siedlecki";7;
1427000;"Powiat sierpecki";4;
1428000;"Powiat sochaczewski";4;
1429000;"Powiat sokołowski";7;
1430000;"Powiat szydłowiecki";7;
1432000;"Powiat warszawski zachodni";27;
1433000;"Powiat węgrowski";5;
1434000;"Powiat wołomiński";20;
1435000;"Powiat wyszkowski";8;
1436000;"Powiat zwoleński";2;
1437000;"Powiat żuromiński";2;
1438000;"Powiat żyrardowski";11;
1461000;"Powiat m.Ostrołęka";2;
1462000;"Powiat m.Płock";17;
1463000;"Powiat m.Radom";15;
1464000;"Powiat m.Siedlce";10;
1465000;"Powiat m. st. Warszawa";192;
1601000;"Powiat brzeski";12;
1602000;"Powiat głubczycki";5;
1603000;"Powiat kędzierzyńsko-kozielski";9;
1604000;"Powiat kluczborski";11;
1605000;"Powiat krapkowicki";6;
1606000;"Powiat namysłowski";7;
1607000;"Powiat nyski";40;
1608000;"Powiat oleski";12;
1609000;"Powiat opolski";26;
1610000;"Powiat prudnicki";9;
1611000;"Powiat strzelecki";6;
1661000;"Powiat m.Opole";22;
1801000;"Powiat bieszczadzki";72;
1802000;"Powiat brzozowski";6;
1803000;"Powiat dębicki";16;
1804000;"Powiat jarosławski";24;
1805000;"Powiat jasielski";17;
1806000;"Powiat kolbuszowski";4;
1807000;"Powiat krośnieński";60;
1808000;"Powiat leżajski";11;
1809000;"Powiat lubaczowski";17;
1810000;"Powiat łańcucki";16;
1811000;"Powiat mielecki";12;
1812000;"Powiat niżański";5;
1813000;"Powiat przemyski";13;
1814000;"Powiat przeworski";6;
1815000;"Powiat ropczycko-sędziszowski";10;
1816000;"Powiat rzeszowski";28;
1817000;"Powiat sanocki";36;
1818000;"Powiat stalowowolski";9;
1819000;"Powiat strzyżowski";8;
1820000;"Powiat tarnobrzeski";12;
1821000;"Powiat leski";183;
1861000;"Powiat m.Krosno";12;
1862000;"Powiat m.Przemyśl";16;
1863000;"Powiat m.Rzeszów";46;
1864000;"Powiat m.Tarnobrzeg";13;
2001000;"Powiat augustowski";45;
2002000;"Powiat białostocki";31;
2003000;"Powiat bielski";4;
2004000;"Powiat grajewski";10;
2005000;"Powiat hajnowski";39;
2006000;"Powiat kolneński";2;
2007000;"Powiat łomżyński";15;
2008000;"Powiat moniecki";12;
2009000;"Powiat sejneński";18;
2010000;"Powiat siemiatycki";13;
2011000;"Powiat sokólski";11;
2012000;"Powiat suwalski";25;
2013000;"Powiat wysokomazowiecki";10;
2014000;"Powiat zambrowski";3;
2061000;"Powiat m.Białystok";31;
2062000;"Powiat m.Łomża";5;
2063000;"Powiat m.Suwałki";12;
2201000;"Powiat bytowski";26;
2202000;"Powiat chojnicki";45;
2203000;"Powiat człuchowski";21;
2204000;"Powiat gdański";27;
2205000;"Powiat kartuski";61;
2206000;"Powiat kościerski";51;
2207000;"Powiat kwidzyński";10;
2208000;"Powiat lęborski";166;
2209000;"Powiat malborski";14;
2210000;"Powiat nowodworski";193;
2211000;"Powiat pucki";530;
2212000;"Powiat słupski";147;
2213000;"Powiat starogardzki";23;
2214000;"Powiat tczewski";16;
2215000;"Powiat wejherowski";42;
2216000;"Powiat sztumski";5;
2261000;"Powiat m.Gdańsk";186;
2262000;"Powiat m.Gdynia";39;
2263000;"Powiat m.Słupsk";12;
2264000;"Powiat m.Sopot";44;
2401000;"Powiat będziński";18;
2402000;"Powiat bielski";50;
2403000;"Powiat cieszyński";173;
2404000;"Powiat częstochowski";15;
2405000;"Powiat gliwicki";11;
2406000;"Powiat kłobucki";6;
2407000;"Powiat lubliniecki";13;
2408000;"Powiat mikołowski";5;
2409000;"Powiat myszkowski";16;
2410000;"Powiat pszczyński";15;
2411000;"Powiat raciborski";14;
2412000;"Powiat rybnicki";2;
2413000;"Powiat tarnogórski";20;
2414000;"Powiat bieruńsko-lędziński";3;
2415000;"Powiat wodzisławski";9;
2416000;"Powiat zawierciański";24;
2417000;"Powiat żywiecki";102;
2461000;"Powiat m.Bielsko-Biała";34;
2462000;"Powiat m.Bytom";8;
2463000;"Powiat m.Chorzów";8;
2464000;"Powiat m.Częstochowa";22;
2465000;"Powiat m.Dąbrowa Górnicza";10;
2466000;"Powiat m.Gliwice";19;
2467000;"Powiat m.Jastrzębie-Zdrój";4;
2468000;"Powiat m.Jaworzno";7;
2469000;"Powiat m.Katowice";32;
2471000;"Powiat m.Piekary Śląskie";6;
2472000;"Powiat m.Ruda Śląska";6;
2473000;"Powiat m.Rybnik";6;
2474000;"Powiat m.Siemianowice Śląskie";4;
2475000;"Powiat m.Sosnowiec";7;
2476000;"Powiat m.Świętochłowice";1;
2477000;"Powiat m.Tychy";12;
2478000;"Powiat m.Zabrze";12;
2479000;"Powiat m.Żory";5;
2601000;"Powiat buski";36;
2602000;"Powiat jędrzejowski";10;
2603000;"Powiat kazimierski";2;
2604000;"Powiat kielecki";74;
2605000;"Powiat konecki";20;
2606000;"Powiat opatowski";7;
2607000;"Powiat ostrowiecki";10;
2608000;"Powiat pińczowski";5;
2609000;"Powiat sandomierski";19;
2610000;"Powiat skarżyski";10;
2611000;"Powiat starachowicki";6;
2612000;"Powiat staszowski";9;
2613000;"Powiat włoszczowski";5;
2661000;"Powiat m.Kielce";38;
2801000;"Powiat bartoszycki";7;
2802000;"Powiat braniewski";8;
2803000;"Powiat działdowski";15;
2804000;"Powiat elbląski";7;
2805000;"Powiat ełcki";15;
2806000;"Powiat giżycki";66;
2807000;"Powiat iławski";33;
2808000;"Powiat kętrzyński";9;
2809000;"Powiat lidzbarski";13;
2810000;"Powiat mrągowski";97;
2811000;"Powiat nidzicki";9;
2812000;"Powiat nowomiejski";4;
2813000;"Powiat olecki";10;
2814000;"Powiat olsztyński";57;
2815000;"Powiat ostródzki";44;
2816000;"Powiat piski";50;
2817000;"Powiat szczycieński";24;
2818000;"Powiat gołdapski";13;
2819000;"Powiat węgorzewski";18;
2861000;"Powiat m.Elbląg";16;
2862000;"Powiat m.Olsztyn";26;
3001000;"Powiat chodzieski";14;
3002000;"Powiat czarnkowsko-trzcianecki";18;
3003000;"Powiat gnieźnieński";49;
3004000;"Powiat gostyński";5;
3005000;"Powiat grodziski";10;
3006000;"Powiat jarociński";14;
3007000;"Powiat kaliski";11;
3008000;"Powiat kępiński";6;
3009000;"Powiat kolski";11;
3010000;"Powiat koniński";49;
3011000;"Powiat kościański";13;
3012000;"Powiat krotoszyński";7;
3013000;"Powiat leszczyński";37;
3014000;"Powiat międzychodzki";22;
3015000;"Powiat nowotomyski";23;
3016000;"Powiat obornicki";4;
3017000;"Powiat ostrowski";17;
3018000;"Powiat ostrzeszowski";7;
3019000;"Powiat pilski";21;
3020000;"Powiat pleszewski";18;
3021000;"Powiat poznański";75;
3022000;"Powiat rawicki";5;
3023000;"Powiat słupecki";20;
3024000;"Powiat szamotulski";11;
3025000;"Powiat średzki";14;
3026000;"Powiat śremski";9;
3027000;"Powiat turecki";6;
3028000;"Powiat wągrowiecki";8;
3029000;"Powiat wolsztyński";25;
3030000;"Powiat wrzesiński";16;
3031000;"Powiat złotowski";10;
3061000;"Powiat m.Kalisz";9;
3062000;"Powiat m.Konin";4;
3063000;"Powiat m.Leszno";4;
3064000;"Powiat m.Poznań";104;
3201000;"Powiat białogardzki";3;
3202000;"Powiat choszczeński";12;
3203000;"Powiat drawski";42;
3204000;"Powiat goleniowski";15;
3205000;"Powiat gryficki";258;
3206000;"Powiat gryfiński";14;
3207000;"Powiat kamieński";199;
3208000;"Powiat kołobrzeski";347;
3209000;"Powiat koszaliński";239;
3210000;"Powiat myśliborski";13;
3211000;"Powiat policki";11;
3212000;"Powiat pyrzycki";2;
3213000;"Powiat sławieński";191;
3214000;"Powiat stargardzki";23;
3215000;"Powiat szczecinecki";15;
3216000;"Powiat świdwiński";11;
3217000;"Powiat wałecki";22;
3218000;"Powiat łobeski";6;
3261000;"Powiat m.Koszalin";19;
3262000;"Powiat m.Szczecin";59;
3263000;"Powiat m.Świnoujście";103;
