"Kod";"Nazwa";"ogółem;2020;[zł]";
0201000;"Powiat bolesławiecki";4887,95;
0202000;"Powiat dzierżoniowski";4690,20;
0203000;"Powiat głogowski";4763,21;
0204000;"Powiat górowski";4432,40;
0205000;"Powiat jaworski";4932,98;
0206000;"Powiat karkonoski";4526,41;
0207000;"Powiat kamiennogórski";4532,19;
0208000;"Powiat kłodzki";4747,93;
0209000;"Powiat legnicki";4877,07;
0210000;"Powiat lubański";4508,29;
0211000;"Powiat lubiński";8920,41;
0212000;"Powiat lwówecki";4622,42;
0213000;"Powiat milicki";4338,67;
0214000;"Powiat oleśnicki";4773,90;
0215000;"Powiat oławski";4987,74;
0216000;"Powiat polkowicki";5606,23;
0217000;"Powiat strzeliński";5161,72;
0218000;"Powiat średzki";5260,90;
0219000;"Powiat świdnicki";5053,92;
0220000;"Powiat trzebnicki";4611,02;
0221000;"Powiat wałbrzyski";4385,23;
0222000;"Powiat wołowski";5907,36;
0223000;"Powiat wrocławski";5868,29;
0224000;"Powiat ząbkowicki";4556,76;
0225000;"Powiat zgorzelecki";4881,55;
0226000;"Powiat złotoryjski";5118,53;
0261000;"Powiat m.Jelenia Góra";5183,33;
0262000;"Powiat m.Legnica";4952,32;
0264000;"Powiat m.Wrocław";6140,64;
0265000;"Powiat m.Wałbrzych od 2013";5565,38;
0401000;"Powiat aleksandrowski";4138,84;
0402000;"Powiat brodnicki";4291,16;
0403000;"Powiat bydgoski";4752,76;
0404000;"Powiat chełmiński";4492,13;
0405000;"Powiat golubsko-dobrzyński";4974,93;
0406000;"Powiat grudziądzki";4677,24;
0407000;"Powiat inowrocławski";4597,12;
0408000;"Powiat lipnowski";4106,90;
0409000;"Powiat mogileński";4263,04;
0410000;"Powiat nakielski";4423,48;
0411000;"Powiat radziejowski";4320,09;
0412000;"Powiat rypiński";4219,07;
0413000;"Powiat sępoleński";4308,57;
0414000;"Powiat świecki";4858,33;
0415000;"Powiat toruński";4394,70;
0416000;"Powiat tucholski";4208,91;
0417000;"Powiat wąbrzeski";4709,17;
0418000;"Powiat włocławski";4383,49;
0419000;"Powiat żniński";4285,37;
0461000;"Powiat m.Bydgoszcz";5252,17;
0462000;"Powiat m.Grudziądz";4414,17;
0463000;"Powiat m.Toruń";5331,63;
0464000;"Powiat m.Włocławek";4889,30;
0601000;"Powiat bialski";4258,54;
0602000;"Powiat biłgorajski";4522,48;
0603000;"Powiat chełmski";4291,62;
0604000;"Powiat hrubieszowski";4518,56;
0605000;"Powiat janowski";4437,27;
0606000;"Powiat krasnostawski";4548,95;
0607000;"Powiat kraśnicki";4244,39;
0608000;"Powiat lubartowski";4369,45;
0609000;"Powiat lubelski";4253,09;
0610000;"Powiat łęczyński";6391,65;
0611000;"Powiat łukowski";4146,78;
0612000;"Powiat opolski";4252,35;
0613000;"Powiat parczewski";4478,61;
0614000;"Powiat puławski";5311,80;
0615000;"Powiat radzyński";4385,35;
0616000;"Powiat rycki";4386,95;
0617000;"Powiat świdnicki";5074,45;
0618000;"Powiat tomaszowski";4337,56;
0619000;"Powiat włodawski";4333,34;
0620000;"Powiat zamojski";4135,39;
0661000;"Powiat m.Biała Podlaska";4504,47;
0662000;"Powiat m.Chełm";4581,83;
0663000;"Powiat m.Lublin";5412,39;
0664000;"Powiat m.Zamość";5013,44;
0801000;"Powiat gorzowski";5012,81;
0802000;"Powiat krośnieński";4765,10;
0803000;"Powiat międzyrzecki";4569,86;
0804000;"Powiat nowosolski";4625,15;
0805000;"Powiat słubicki";4480,78;
0806000;"Powiat strzelecko-drezdenecki";4560,14;
0807000;"Powiat sulęciński";4292,99;
0808000;"Powiat świebodziński";4659,04;
0809000;"Powiat zielonogórski";5037,75;
0810000;"Powiat żagański";4484,13;
0811000;"Powiat żarski";5047,09;
0812000;"Powiat wschowski";4470,96;
0861000;"Powiat m.Gorzów Wielkopolski";4788,88;
0862000;"Powiat m.Zielona Góra";5212,80;
1001000;"Powiat bełchatowski";7002,62;
1002000;"Powiat kutnowski";4786,11;
1003000;"Powiat łaski";4162,46;
1004000;"Powiat łęczycki";4822,41;
1005000;"Powiat łowicki";4460,42;
1006000;"Powiat łódzki wschodni";4423,99;
1007000;"Powiat opoczyński";4343,35;
1008000;"Powiat pabianicki";4675,17;
1009000;"Powiat pajęczański";4573,46;
1010000;"Powiat piotrkowski";4255,64;
1011000;"Powiat poddębicki";5688,39;
1012000;"Powiat radomszczański";4368,96;
1013000;"Powiat rawski";4509,52;
1014000;"Powiat sieradzki";4741,55;
1015000;"Powiat skierniewicki";4451,49;
1016000;"Powiat tomaszowski";4473,72;
1017000;"Powiat wieluński";4342,78;
1018000;"Powiat wieruszowski";4165,25;
1019000;"Powiat zduńskowolski";4382,66;
1020000;"Powiat zgierski";5081,59;
1021000;"Powiat brzeziński";4113,70;
1061000;"Powiat m.Łódź";5510,99;
1062000;"Powiat m.Piotrków Trybunalski";4422,85;
1063000;"Powiat m.Skierniewice";4691,83;
1201000;"Powiat bocheński";4523,92;
1202000;"Powiat brzeski";4244,82;
1203000;"Powiat chrzanowski";4912,69;
1204000;"Powiat dąbrowski";4425,26;
1205000;"Powiat gorlicki";4158,62;
1206000;"Powiat krakowski";5788,98;
1207000;"Powiat limanowski";4163,22;
1208000;"Powiat miechowski";4415,03;
1209000;"Powiat myślenicki";4525,20;
1210000;"Powiat nowosądecki";4160,76;
1211000;"Powiat nowotarski";4335,07;
1212000;"Powiat olkuski";4920,77;
1213000;"Powiat oświęcimski";4911,73;
1214000;"Powiat proszowicki";4635,66;
1215000;"Powiat suski";4482,76;
1216000;"Powiat tarnowski";4149,11;
1217000;"Powiat tatrzański";4655,05;
1218000;"Powiat wadowicki";4457,27;
1219000;"Powiat wielicki";5047,98;
1261000;"Powiat m.Kraków";6482,24;
1262000;"Powiat m.Nowy Sącz";4468,93;
1263000;"Powiat m.Tarnów";5629,79;
1401000;"Powiat białobrzeski";4410,45;
1402000;"Powiat ciechanowski";4967,97;
1403000;"Powiat garwoliński";4708,21;
1404000;"Powiat gostyniński";4637,28;
1405000;"Powiat grodziski";5761,51;
1406000;"Powiat grójecki";5088,28;
1407000;"Powiat kozienicki";5467,11;
1408000;"Powiat legionowski";5059,53;
1409000;"Powiat lipski";4564,75;
1410000;"Powiat łosicki";4486,10;
1411000;"Powiat makowski";4461,25;
1412000;"Powiat miński";4717,21;
1413000;"Powiat mławski";4636,34;
1414000;"Powiat nowodworski";6096,33;
1415000;"Powiat ostrołęcki";4564,72;
1416000;"Powiat ostrowski";4650,41;
1417000;"Powiat otwocki";5281,35;
1418000;"Powiat piaseczyński";5164,71;
1419000;"Powiat płocki";4631,84;
1420000;"Powiat płoński";4826,77;
1421000;"Powiat pruszkowski";6295,40;
1422000;"Powiat przasnyski";4638,79;
1423000;"Powiat przysuski";4653,63;
1424000;"Powiat pułtuski";4644,71;
1425000;"Powiat radomski";4362,35;
1426000;"Powiat siedlecki";4503,92;
1427000;"Powiat sierpecki";4613,59;
1428000;"Powiat sochaczewski";5741,89;
1429000;"Powiat sokołowski";4792,94;
1430000;"Powiat szydłowiecki";4157,78;
1432000;"Powiat warszawski zachodni";5990,54;
1433000;"Powiat węgrowski";4589,75;
1434000;"Powiat wołomiński";4997,04;
1435000;"Powiat wyszkowski";4404,79;
1436000;"Powiat zwoleński";4508,69;
1437000;"Powiat żuromiński";4384,30;
1438000;"Powiat żyrardowski";5113,05;
1461000;"Powiat m.Ostrołęka";5712,81;
1462000;"Powiat m.Płock";6526,04;
1463000;"Powiat m.Radom";5033,24;
1464000;"Powiat m.Siedlce";5187,54;
1465000;"Powiat m. st. Warszawa";7147,46;
1601000;"Powiat brzeski";4825,14;
1602000;"Powiat głubczycki";4703,75;
